,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.9578524578746018,0,0.9600187566143342,0,0.7645811837754539,0,0.9720650488246512,0,0,0,0.972476431440484,0,0,0,0.7053296164008808,0,0,0,0.3416420043018344,0,0,0,0.3401401347360248,0,0,0,0.0360797687431221,0,0,0,0.1815861661366319,0,0.1938997296387326,0,0.0429557098885925,0,LEUTX,RandomForestClassifier,mono,7223,722300,510293,14388
1,20,0.9448462387849051,0,0.938991841458295,0,0.913939540551947,0,0.9765799204049485,0,0,0,0.9722803505569908,0,0,0,0.9406859897671188,0,0,0,0.3825523801111484,0,0,0,0.3413208892193585,0,0,0,0.2439699444904872,0,0,0,0.1712454895106966,0,0.1652373728710399,0,0.1402251128305032,0,FBXL19,RandomForestClassifier,mono,6182,618200,479884,11728
2,40,0.8660992644316604,0,0.8726930025782766,0,0.7936707105172212,0,0.9253622217813926,0,0,0,0.9213877515941812,0,0,0,0.725565865710021,0,0,0,0.3158422357701162,0,0,0,0.258445578039414,0,0,0,0.0631137591249812,0,0,0,0.193064833934855,0,0.2115619003875326,0,0.0563881901861471,0,ZBED5,RandomForestClassifier,mono,1535,153500,153500,3009
3,20,0.890119359027438,0,0.8850458240806955,0,0.79207344922106,0,0.938914242161918,0,0,0,0.9047210094471,0,0,0,0.7270735569827708,0,0,0,0.7982961866018311,0,0,0,0.6799830081235785,0,0,0,0.1001762140476078,0,0,0,0.6741265801410297,0,0.5885296897696228,0,0.0852602253586636,0,ZFAT,RandomForestClassifier,mono,326,32600,32600,507
4,26,0.8767678705497323,0,0.7943478598416231,0,0.4977174708141662,0,0.9660241371157412,0,0,0,0.9381093111122614,0,0,0,0.5500769293543862,0,0,0,0.8838016831130024,0,0,0,0.8101035380181038,0,0,0,0.0459735739898678,0,0,0,0.7538585216621014,0,0.6544562483537449,0,0.0406926971793019,0,ZSCAN2,RandomForestClassifier,mono,278,27800,27800,546
5,34,0.987980052579342,0,0.98911640291168,0,0.6902609124663805,0,0.9914566031541912,0,0,0,0.9916341337886224,0,0,0,0.7056256646809752,0,0,0,0.7809747597283965,0,0,0,0.7724835427108317,0,0,0,0.0543419377949493,0,0,0,0.7451025251762594,0,0.7564627799010352,0,0.0492816882254152,0,LEF1,RandomForestClassifier,mono,5752,575200,513934,11333
6,35,0.9639756064358244,0,0.9640624098008148,0,0.8648558906600183,0,0.9759863495142084,0,0,0,0.975465777274785,0,0,0,0.884020190078574,0,0,0,0.4556500092414602,0,0,0,0.454578704069852,0,0,0,0.0857994826177407,0,0,0,0.3260956610452029,0,0.3417920363416977,0,0.0739360180534118,0,ZNF395,RandomForestClassifier,mono,9400,940000,477367,17638
7,39,0.9124521084601868,0,0.9197587091675176,0,0.932324958034976,0,0.9567760103260268,0,0,0,0.9549034069611236,0,0,0,0.8991578951882258,0,0,0,0.3680138108427173,0,0,0,0.3221101143188517,0,0,0,0.3398718544254662,0,0,0,0.2694730259309435,0,0.2801409221784851,0,0.3201698568642304,0,ZFTA,RandomForestClassifier,mono,2326,232600,232600,4601
8,20,0.972409305579106,0,0.9706867612112436,0,0.8517473361926713,0,0.9850835628099284,0,0,0,0.9823538616051084,0,0,0,0.807683311732753,0,0,0,0.7653525982855174,0,0,0,0.7294144583264589,0,0,0,0.1583604722721775,0,0,0,0.4245752249005141,0,0.4244677214317011,0,0.0828327708279928,0,FOSL2,RandomForestClassifier,mono,4532,453200,453200,8989
9,22,0.7876623523653333,0,0.7830479684968032,0,0.7559064825128091,0,0.8125176944372946,0,0,0,0.8072282964742988,0,0,0,0.7608670082423703,0,0,0,0.3699243929183549,0,0,0,0.3399989030774847,0,0,0,0.3040267293124354,0,0,0,0.3011296377460199,0,0.2955784569059455,0,0.3021214964045666,0,ZNF226,RandomForestClassifier,mono,4429,442900,442900,8537
