,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.757104507742292,0,0.7654616762782221,0,0.9568514261386304,0,0.7720895857753499,0,0,0,0.7785740216780318,0,0,0,0.952381099249075,0,0,0,0.0386430913079266,0,0,0,0.0372086658676982,0,0,0,0.1841244756842678,0,0,0,0.0354216412120902,0,0.0340242400708951,0,0.1955028249560477,0,LEUTX,LogisticRegression,mono,,-0.1955028249560477,-0.9568514261386304
1,28,0.8994780609377382,0,0.8901957127475226,0,0.9042617907774276,0,0.9547242850746837,0,0,0,0.9357869182224596,0,0,0,0.9431714734921608,0,0,0,0.4106904969627574,0,0,0,0.1763937199048435,0,0,0,0.2086660359514613,0,0,0,0.1810712090228823,0,0.0948325614073923,0,0.1283449209518296,0,FBXL19,LogisticRegression,mono,5258.0,-0.1283449209518296,-0.9042617907774276
9,42,0.8136210230207166,0,0.8467227527381587,0,0.8363730097932074,0,0.8282380655310149,0,0,0,0.8562702434482107,0,0,0,0.8204662755042493,0,0,0,0.121441624619574,0,0,0,0.155523551296813,0,0,0,0.1059983443136151,0,0,0,0.0828406628878511,0,0.1570975312169084,0,0.1398926048824874,0,ZBED5,LogisticRegression,mono,,-0.1398926048824874,-0.8363730097932074
10,38,0.8444495560609147,0,0.8334911473652251,0,0.8393291994429598,0,0.8536464182077002,0,0,0,0.8512643083633175,0,0,0,0.833706763521397,0,0,0,0.1996360391897344,0,0,0,0.2270677888203245,0,0,0,0.5256684485967538,0,0,0,0.1804497688597017,0,0.2091501301922405,0,0.3749023096106036,0,ZFAT,LogisticRegression,mono,12101.0,-0.3749023096106036,-0.8393291994429598
18,25,0.7238499775352232,0,0.7202545363315773,0,0.7732559779514517,0,0.7612821994912533,0,0,0,0.7566047010875538,0,0,0,0.7778956834532375,0,0,0,0.0649963804437582,0,0,0,0.0377844602800369,0,0,0,0.3759643904245988,0,0,0,0.0610840872448309,0,0.0503366488220837,0,0.629240879186883,0,ZSCAN2,LogisticRegression,mono,,-0.629240879186883,-0.7732559779514517
19,26,0.7103722248199786,0,0.7339303965965269,0,0.9803927686352176,0,0.7168822887100132,0,0,0,0.7424657769059423,0,0,0,0.9883934824207709,0,0,0,0.0523935536344546,0,0,0,0.0653578169163931,0,0,0,0.7151717539577204,0,0,0,0.0505394202597838,0,0.063077043329449,0,0.7762829676010847,0,LEF1,LogisticRegression,mono,12304.0,-0.7762829676010847,-0.9803927686352176
27,23,0.8880693944449531,0,0.6533958800922535,0,0.97410007283303,0,0.9028592236899338,0,0,0,0.6866437218733725,0,0,0,0.9793261459391006,0,0,0,0.0929380789192461,0,0,0,0.0237220433842926,0,0,0,0.5465027124214648,0,0,0,0.0700461422880681,0,0.019860551777754,0,0.4785927498066566,0,ZNF395,LogisticRegression,mono,,-0.4785927498066566,-0.97410007283303
28,22,0.942862531061362,0,0.9557253894836714,0,0.9172629178252644,0,0.9465459865973076,0,0,0,0.9580823427690563,0,0,0,0.9245647532584288,0,0,0,0.4149864730887125,0,0,0,0.6757208585794241,0,0,0,0.2573530133299785,0,0,0,0.3998731455377198,0,0.6629495918780667,0,0.2633849661034184,0,ZFTA,LogisticRegression,mono,29213.0,-0.2633849661034184,-0.9172629178252644
36,25,0.9070199268140527,0,0.9045401389118716,0,0.9011122940895342,0,0.910581182610503,0,0,0,0.9218152040670188,0,0,0,0.9022360256748324,0,0,0,0.2382539429974456,0,0,0,0.4375531493051455,0,0,0,0.4715367807211362,0,0,0,0.2301789566061231,0,0.4157991868538651,0,0.5066850549424764,0,FOSL2,LogisticRegression,mono,,-0.5066850549424764,-0.9011122940895342
37,26,0.7342320884584986,0,0.7713600801960347,0,0.7680243087787184,0,0.7972930686535554,0,0,0,0.8244528402762309,0,0,0,0.8499002540828711,0,0,0,0.381037629209045,0,0,0,0.3995340367250953,0,0,0,0.242468010103531,0,0,0,0.3138551966322302,0,0.3302990173591281,0,0.1915558293648764,0,ZNF226,LogisticRegression,mono,,-0.1915558293648764,-0.7680243087787184
