,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.9578524578746018,0,0.9600187566143342,0,0.7645811837754539,0,0.9652723803311896,0,0,0,0.9669623315531624,0,0,0,0.7544743798375295,0,0,0,0.2482357756172383,0,0,0,0.2640549245091755,0,0,0,0.0403372035785509,0,0,0,0.1815861661366319,0,0.1938997296387326,0,0.0429557098885925,0,LEUTX,LogisticRegression,mono,7223,-0.0429557098885925,-0.7645811837754539
8,20,0.9448462387849051,0,0.938991841458295,0,0.913939540551947,0,0.9755846427622554,0,0,0,0.9723609114333134,0,0,0,0.9436927478582872,0,0,0,0.3532342510199944,0,0,0,0.3326006908608818,0,0,0,0.241360926754314,0,0,0,0.1712454895106966,0,0.1652373728710399,0,0.1402251128305032,0,FBXL19,LogisticRegression,mono,6182,-0.1402251128305032,-0.913939540551947
16,40,0.8660992644316604,0,0.8726930025782766,0,0.7936707105172212,0,0.8859018496330093,0,0,0,0.8945958811234072,0,0,0,0.7666013575863363,0,0,0,0.212085065617343,0,0,0,0.2240466105193179,0,0,0,0.0689579787568505,0,0,0,0.193064833934855,0,0.2115619003875326,0,0.0563881901861471,0,ZBED5,LogisticRegression,mono,1535,-0.0563881901861471,-0.7936707105172212
24,20,0.890119359027438,0,0.8850458240806955,0,0.79207344922106,0,0.8804068651435883,0,0,0,0.8763392487485415,0,0,0,0.8059602040987681,0,0,0,0.7163466054803718,0,0,0,0.6621396363712337,0,0,0,0.1219038186601294,0,0,0,0.6741265801410297,0,0.5885296897696228,0,0.0852602253586636,0,ZFAT,LogisticRegression,mono,326,-0.0852602253586636,-0.79207344922106
32,26,0.8767678705497323,0,0.7943478598416231,0,0.4977174708141662,0,0.8832965268934507,0,0,0,0.8161263650949744,0,0,0,0.4908808637136077,0,0,0,0.776232155203579,0,0,0,0.6719857364562656,0,0,0,0.0423313515455193,0,0,0,0.7538585216621014,0,0.6544562483537449,0,0.0406926971793019,0,ZSCAN2,LogisticRegression,mono,278,-0.0406926971793019,-0.4977174708141662
40,34,0.987980052579342,0,0.98911640291168,0,0.6902609124663805,0,0.9896151504344254,0,0,0,0.9901894585012192,0,0,0,0.7089741906012147,0,0,0,0.7583380370818246,0,0,0,0.7663787524594716,0,0,0,0.0540333824178626,0,0,0,0.7451025251762594,0,0.7564627799010352,0,0.0492816882254152,0,LEF1,LogisticRegression,mono,5752,-0.0492816882254152,-0.6902609124663805
48,35,0.9639756064358244,0,0.9640624098008148,0,0.8648558906600183,0,0.9776904277156826,0,0,0,0.9774611680058864,0,0,0,0.8834532153755004,0,0,0,0.4556669132889928,0,0,0,0.4696863041237046,0,0,0,0.0842044152345731,0,0,0,0.3260956610452029,0,0.3417920363416977,0,0.0739360180534118,0,ZNF395,LogisticRegression,mono,9400,-0.0739360180534118,-0.8648558906600183
56,39,0.9124521084601868,0,0.9197587091675176,0,0.932324958034976,0,0.9228890749437688,0,0,0,0.9294257603493796,0,0,0,0.934777774366975,0,0,0,0.2923722926342498,0,0,0,0.3092514322754105,0,0,0,0.3539023841948753,0,0,0,0.2694730259309435,0,0.2801409221784851,0,0.3201698568642304,0,ZFTA,LogisticRegression,mono,2326,-0.3201698568642304,-0.932324958034976
64,20,0.972409305579106,0,0.9706867612112436,0,0.8517473361926713,0,0.9730571623186712,0,0,0,0.9696591164701884,0,0,0,0.8604360219788445,0,0,0,0.530522545065808,0,0,0,0.5286468512087048,0,0,0,0.119072205014441,0,0,0,0.4245752249005141,0,0.4244677214317011,0,0.0828327708279928,0,FOSL2,LogisticRegression,mono,4532,-0.0828327708279928,-0.8517473361926713
72,22,0.7876623523653333,0,0.7830479684968032,0,0.7559064825128091,0,0.7958648576621201,0,0,0,0.788392350678713,0,0,0,0.7507922477166407,0,0,0,0.3222611511400023,0,0,0,0.3180077212092895,0,0,0,0.2968016263844076,0,0,0,0.3011296377460199,0,0.2955784569059455,0,0.3021214964045666,0,ZNF226,LogisticRegression,mono,4429,-0.3021214964045666,-0.7559064825128091
