Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_H,ROC_delta_H,dLR
2,0.846138847065488,0.0,0.8819221024999236,0.0,0.8836208077524826,0.0,0.9163025297774332,0.0,0.0,0.0,0.8921910198101402,0.0,0.0,0.0,0.8847895440563541,0.0,0.0,0.0,0.6306006815625946,0.0,0.0,0.0,0.6578594978776549,0.0,0.0,0.0,0.5753729436511126,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,2,-0.004344489599477974,0.0013262720918165716,0.0013262720918165716
4,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.9149466316840834,0.0,0.0,0.0,0.8943449528402674,0.0,0.0,0.0,0.8863291468781042,0.0,0.0,0.0,0.6467720908325134,0.0,0.0,0.0,0.6621564671196752,0.0,0.0,0.0,0.6312596839842266,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,4,-4.752035745758665e-05,0.0034802051219438024,0.0034802051219438024
8,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.911603732800644,0.0,0.0,0.0,0.8910988675559354,0.0,0.0,0.0,0.8990812757019622,0.0,0.0,0.0,0.6423444255173235,0.0,0.0,0.0,0.6618264912279875,0.0,0.0,0.0,0.6806447811300622,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,8,-0.00037749624914529267,0.00023411983761179034,0.00023411983761179034
16,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.9086222626377068,0.0,0.0,0.0,0.8854425994322518,0.0,0.0,0.0,0.9057641017993584,0.0,0.0,0.0,0.63250771986443,0.0,0.0,0.0,0.6657384565532358,0.0,0.0,0.0,0.7004778096439509,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,16,0.0035344690761029973,-0.005422148286071793,-0.005422148286071793
all,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.9014163474009034,0.0,0.0,0.0,0.8881230731662648,0.0,0.0,0.0,0.9145143450754598,0.0,0.0,0.0,0.6233184921543516,0.0,0.0,0.0,0.6629142387367009,0.0,0.0,0.0,0.718951708391354,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,all,0.0007102512595680288,-0.0027416745520587593,-0.0027416745520587593
2,0.5920760511172367,0.0,0.5978085536290528,0.0,0.6842122984856912,0.0,0.6366302633867481,0.0,0.0,0.0,0.6311226924757373,0.0,0.0,0.0,0.72086423708939,0.0,0.0,0.0,0.0199785974468979,0.0,0.0,0.0,0.018644973124917,0.0,0.0,0.0,0.0336356326693208,0.0,0.0,0.0,0.0158377557196667,0.0,0.0164065912049733,0.0,0.0217842362653197,0.0,MKX,RandomForestClassifier,2,0.0022383819199436987,0.030608771312003236,0.030608771312003236
4,0.5920760511172367,0.0,0.5978085536290528,0.0,0.6842122984856912,0.0,0.6425591644700581,0.0,0.0,0.0,0.6351932637832797,0.0,0.0,0.0,0.7255555364826949,0.0,0.0,0.0,0.0215215796865276,0.0,0.0,0.0,0.0192045385790937,0.0,0.0,0.0,0.0304964867224914,0.0,0.0,0.0,0.0158377557196667,0.0,0.0164065912049733,0.0,0.0217842362653197,0.0,MKX,RandomForestClassifier,4,0.0027979473741204,0.03467934261954564,0.03467934261954564
8,0.5928290824760004,0.0,0.5966328945891921,0.0,0.6181508823486779,0.0,0.653720318696909,0.0,0.0,0.0,0.6431838988923914,0.0,0.0,0.0,0.7215548297696329,0.0,0.0,0.0,0.0225043270853876,0.0,0.0,0.0,0.0198283493775414,0.0,0.0,0.0,0.0309877575694758,0.0,0.0,0.0,0.0158377557196667,0.0,0.0164065912049733,0.0,0.0217842362653197,0.0,MKX,RandomForestClassifier,8,0.003421758172568099,0.04266997772865733,0.04266997772865733
16,0.5937109904904172,0.0,0.599647711490815,0.0,0.6460438576615299,0.0,0.6599269185574715,0.0,0.0,0.0,0.6481508946884007,0.0,0.0,0.0,0.7508181201839438,0.0,0.0,0.0,0.0236705515656262,0.0,0.0,0.0,0.0202199114052713,0.0,0.0,0.0,0.0386559975404047,0.0,0.0,0.0,0.0158377557196667,0.0,0.0164065912049733,0.0,0.0217842362653197,0.0,MKX,RandomForestClassifier,16,0.003813320200297999,0.04763697352466667,0.04763697352466667
all,0.5947052252617028,0.0,0.600513921163734,0.0,0.6523128475552026,0.0,0.6594435116116723,0.0,0.0,0.0,0.6471451082888978,0.0,0.0,0.0,0.7541458028644383,0.0,0.0,0.0,0.0229668846877809,0.0,0.0,0.0,0.020026504557891,0.0,0.0,0.0,0.0360648803512492,0.0,0.0,0.0,0.0158377557196667,0.0,0.0164065912049733,0.0,0.0217842362653197,0.0,MKX,RandomForestClassifier,all,0.003619913352917701,0.04663118712516379,0.04663118712516379
2,0.9586885602307776,0.0,0.9600900813704556,0.0,0.932902216347753,0.0,0.9591411759588394,0.0,0.0,0.0,0.9602993473919136,0.0,0.0,0.0,0.9339008639554628,0.0,0.0,0.0,0.4049403222162401,0.0,0.0,0.0,0.4203860461867372,0.0,0.0,0.0,0.119459530619615,0.0,0.0,0.0,0.4007425160362806,0.0,0.4169157726288514,0.0,0.1182265208509778,0.0,ZNF362,RandomForestClassifier,2,0.003470273557885817,-0.006026533431955028,-0.006026533431955028
4,0.9589059539690128,0.0,0.9605694917445954,0.0,0.9327771310026084,0.0,0.9598691980746168,0.0,0.0,0.0,0.9612887829800668,0.0,0.0,0.0,0.9334316626109488,0.0,0.0,0.0,0.4057255503941926,0.0,0.0,0.0,0.4210672343745844,0.0,0.0,0.0,0.1211946067752772,0.0,0.0,0.0,0.4007425160362806,0.0,0.4169157726288514,0.0,0.1182265208509778,0.0,ZNF362,RandomForestClassifier,4,0.004151461745732998,-0.005037097843801797,-0.005037097843801797
8,0.9647407999883024,0.0,0.9663258808238686,0.0,0.9267134241347316,0.0,0.9709313711558928,0.0,0.0,0.0,0.9722549004881808,0.0,0.0,0.0,0.935905927767371,0.0,0.0,0.0,0.4658126623305799,0.0,0.0,0.0,0.4745640592647263,0.0,0.0,0.0,0.1406758270071066,0.0,0.0,0.0,0.4007425160362806,0.0,0.4169157726288514,0.0,0.1182265208509778,0.0,ZNF362,RandomForestClassifier,8,0.0576482866358749,0.005929019664312141,0.005929019664312141
16,0.9647407999883024,0.0,0.9663258808238686,0.0,0.9267134241347316,0.0,0.9737785326091914,0.0,0.0,0.0,0.9751330863154776,0.0,0.0,0.0,0.9357172055811348,0.0,0.0,0.0,0.4847471534522154,0.0,0.0,0.0,0.4953456680696139,0.0,0.0,0.0,0.1361143868537206,0.0,0.0,0.0,0.4007425160362806,0.0,0.4169157726288514,0.0,0.1182265208509778,0.0,ZNF362,RandomForestClassifier,16,0.07842989544076251,0.00880720549160896,0.00880720549160896
all,0.9647407999883024,0.0,0.9663258808238686,0.0,0.9267134241347316,0.0,0.9749279826051436,0.0,0.0,0.0,0.9760730752849311,0.0,0.0,0.0,0.9377685308380456,0.0,0.0,0.0,0.4878092661943657,0.0,0.0,0.0,0.4994005708352499,0.0,0.0,0.0,0.1371006898973195,0.0,0.0,0.0,0.4007425160362806,0.0,0.4169157726288514,0.0,0.1182265208509778,0.0,ZNF362,RandomForestClassifier,all,0.08248479820639854,0.009747194461062536,0.009747194461062536
2,0.5892765810474083,0.0,0.5681739267888815,0.0,0.7892094094508566,0.0,0.5978836368334821,0.0,0.0,0.0,0.5721653899365554,0.0,0.0,0.0,0.7944799699808498,0.0,0.0,0.0,0.0673087624086232,0.0,0.0,0.0,0.045516764065903,0.0,0.0,0.0,0.6395954697444195,0.0,0.0,0.0,0.0610840872448309,0.0,0.0449741167299677,0.0,0.6380353874258613,0.0,ZSCAN2,RandomForestClassifier,2,0.0005426473359353007,-0.13145281748305138,-0.13145281748305138
4,0.5950462137881041,0.0,0.5743687108064449,0.0,0.7978995652398945,0.0,0.6129390351170326,0.0,0.0,0.0,0.5853663323368882,0.0,0.0,0.0,0.8225202499870607,0.0,0.0,0.0,0.0698696258627691,0.0,0.0,0.0,0.047320824125764,0.0,0.0,0.0,0.6498038325613548,0.0,0.0,0.0,0.0610840872448309,0.0,0.0449741167299677,0.0,0.6380353874258613,0.0,ZSCAN2,RandomForestClassifier,4,0.002346707395796302,-0.11825187508271862,-0.11825187508271862
8,0.7238499775352232,0.0,0.7036182074196068,0.0,0.7690622250401118,0.0,0.7621128260594853,0.0,0.0,0.0,0.7405082278850299,0.0,0.0,0.0,0.7984505201594121,0.0,0.0,0.0,0.1079866638286282,0.0,0.0,0.0,0.0780418185901039,0.0,0.0,0.0,0.6084042059022471,0.0,0.0,0.0,0.0610840872448309,0.0,0.0449741167299677,0.0,0.6380353874258613,0.0,ZSCAN2,RandomForestClassifier,8,0.033067701860136196,0.03689002046542311,0.03689002046542311
16,0.7238499775352232,0.0,0.7036182074196068,0.0,0.7690622250401118,0.0,0.7652419837532658,0.0,0.0,0.0,0.7415584227230693,0.0,0.0,0.0,0.8212168754205269,0.0,0.0,0.0,0.1154461634798477,0.0,0.0,0.0,0.0839458086414416,0.0,0.0,0.0,0.6243090412941198,0.0,0.0,0.0,0.0610840872448309,0.0,0.0449741167299677,0.0,0.6380353874258613,0.0,ZSCAN2,RandomForestClassifier,16,0.038971691911473906,0.03794021530346248,0.03794021530346248
all,0.7238499775352232,0.0,0.7036182074196068,0.0,0.7690622250401118,0.0,0.7630154657942836,0.0,0.0,0.0,0.7389555112739219,0.0,0.0,0.0,0.8380545779203975,0.0,0.0,0.0,0.1138357491673893,0.0,0.0,0.0,0.0827689706460659,0.0,0.0,0.0,0.6310407623075697,0.0,0.0,0.0,0.0610840872448309,0.0,0.0449741167299677,0.0,0.6380353874258613,0.0,ZSCAN2,RandomForestClassifier,all,0.03779485391609821,0.035337303854315105,0.035337303854315105
2,0.9160812818066284,0.0,0.9206274572949694,0.0,0.9536805967990388,0.0,0.918421365151816,0.0,0.0,0.0,0.9219872395920374,0.0,0.0,0.0,0.9526558951931928,0.0,0.0,0.0,0.186059914310666,0.0,0.0,0.0,0.1841488221876363,0.0,0.0,0.0,0.2157117507529863,0.0,0.0,0.0,0.1724249065595365,0.0,0.1774828734624716,0.0,0.2206706163516456,0.0,ZNF775,RandomForestClassifier,2,0.006665948725164711,0.001359782297068013,0.001359782297068013
4,0.9160812818066284,0.0,0.9206274572949694,0.0,0.9536805967990388,0.0,0.9193166346281936,0.0,0.0,0.0,0.922708573409465,0.0,0.0,0.0,0.9526632849096938,0.0,0.0,0.0,0.1891457747886546,0.0,0.0,0.0,0.1844936863613813,0.0,0.0,0.0,0.2143990452571827,0.0,0.0,0.0,0.1724249065595365,0.0,0.1774828734624716,0.0,0.2206706163516456,0.0,ZNF775,RandomForestClassifier,4,0.007010812898909702,0.0020811161144955737,0.0020811161144955737
8,0.9160812818066284,0.0,0.9206274572949694,0.0,0.9536805967990388,0.0,0.9253297681915597,0.0,0.0,0.0,0.9279353064511342,0.0,0.0,0.0,0.960317964963829,0.0,0.0,0.0,0.2068423037790387,0.0,0.0,0.0,0.2006557335491736,0.0,0.0,0.0,0.2387645722869772,0.0,0.0,0.0,0.1724249065595365,0.0,0.1774828734624716,0.0,0.2206706163516456,0.0,ZNF775,RandomForestClassifier,8,0.023172860086701996,0.007307849156164781,0.007307849156164781
16,0.9160812818066284,0.0,0.9206274572949694,0.0,0.9536805967990388,0.0,0.92812162344699,0.0,0.0,0.0,0.9305987579053346,0.0,0.0,0.0,0.9611902958738088,0.0,0.0,0.0,0.2186822155462936,0.0,0.0,0.0,0.2112783410781369,0.0,0.0,0.0,0.2405884235449702,0.0,0.0,0.0,0.1724249065595365,0.0,0.1774828734624716,0.0,0.2206706163516456,0.0,ZNF775,RandomForestClassifier,16,0.03379546761566529,0.009971300610365219,0.009971300610365219
all,0.9160812818066284,0.0,0.9206274572949694,0.0,0.9536805967990388,0.0,0.9280622177389256,0.0,0.0,0.0,0.930509520625077,0.0,0.0,0.0,0.9614305333304922,0.0,0.0,0.0,0.2184351925889131,0.0,0.0,0.0,0.2103358913405027,0.0,0.0,0.0,0.2414842565965891,0.0,0.0,0.0,0.1724249065595365,0.0,0.1774828734624716,0.0,0.2206706163516456,0.0,ZNF775,RandomForestClassifier,all,0.032853017878031104,0.009882063330107549,0.009882063330107549
2,0.7493021009367481,0.0,0.7505218378677776,0.0,0.7932085128885698,0.0,0.7541167676594998,0.0,0.0,0.0,0.7543276145876402,0.0,0.0,0.0,0.7953747383801693,0.0,0.0,0.0,0.1568313232905805,0.0,0.0,0.0,0.1709256686965531,0.0,0.0,0.0,0.2786122504974366,0.0,0.0,0.0,0.1549355780568551,0.0,0.1702330272338532,0.0,0.2776556516646618,0.0,FLI1,RandomForestClassifier,2,0.0006926414626999,-0.07561693141331738,-0.07561693141331738
